EVTNAME913000;Latinoi Privileges;Un vent d'occidentalisation;Winde der Verwestlichung;;;;;;;;;;;
EVTDESC913140;Some intelligence concerning our military preparations has spread from the military mission in one of our provinces, severely hurting our war effort. We have expelled the members of the mission, but the damage has already been done.;Des renseignements confidentiels concernant nos pr�paratifs militaires ont �t� divulgu�s par la mission militaire de $PROVINCENAME$, estropiant gravement notre effort de guerre. Nous avons expuls� les membres de la mission, mais le mal est fait.;Einige Informationen �ber unsere milit�rischen Vorbereitungen haben sich aus der Milit�rmission in $PROVINCENAME$ verbreitet und schaden unseren Kriegsbem�hungen enorm. Wir haben die Missionsmitglieder des Landes verwiesen, aber der Schaden ist passiert.;;;;;;;;;;;
EVTOPTA913140;Blast!;Bon sang !;Verdammt!;;;;;;;;;;;
EVTNAME913150;Latinoi Harassed;Les Europ�ens harcel�s;Europ�er bel�stigt;;;;;;;;;;;
EVTDESC913150;The high militancy among certain parts of the population in $PROVINCENAME$ has lead to an outbreak of violence directed at local expatriate foreigners. The embassies of the Great Powers have all lodged formal diplomatic complaints with our government, and seem to expect some sort of action on our part. What should we do?;;Die starke Militanz in gewissen Bev�lkerungskreisen in $PROVINCENAME$ hat zu einem Gewaltausbruch gef�hrt, dessen Ziel im Lande lebende Ausl�nder waren. Die Botschaften der Gro�m�chte haben alle formelle diplomatische Beschwerden an unsere Regierung gerichtet und scheinen von uns Handlungen zu erwarten. Was sollen wir tun?;;;;;;;;;;;
EVTOPTA913150;Ignore them;Les ignorer;Ignoriert sie;;;;;;;;;;;
EVTOPTB913150;Round up the usual suspects;Rassembler les suspects habituels;Die �blichen Verd�chtigen zusammentreiben;;;;;;;;;;;
EVTNAME913160;What shall we do with the drunken sailor?;Que faire du marin saoul ?;What shall we do with the drunken sailor?;;;;;;;;;;;
EVTDESC913160;Sailors winding up drunk in $COUNTRY_ADJ$ prisons aren't normally affairs of state, but this is an exception. A navyman from one of the Great Powers has been arrested by officials in one of our cities, after having murdered one of our subjects in what appears to have started as a bar fight. The diplomatic attach� insists that the sailor be handed over to the country in question, and tried according to their laws. This presents us with a conundrum. Granting this privilege once is tantamount to allowing extraterritoriality to all Latinoi subjects, but not doing so might very well cause international uproar. This issue merits careful consideration.;;Betrunkene Matrosen, die in $COUNTRY_ADJ$ Gef�ngnissen landen, sind �blicherweise keine Staatsaff�ren, aber dies ist eine Ausnahme. Ein Matrose aus einer der Gro�m�chte wurde in $PROVINCENAME$ verhaftet, nachdem er einen unserer Untertanen im Verlauf einer Kneipenschl�gerei umbrachte. Der diplomatische Attach� besteht darauf, dass der Matrose den Gerichten seines Heimatlandes ausgeliefert und dort nach ihren Gesetzen verurteilt wird. Dies bringt uns in eine Zwickm�hle. Dieses Privileg ist ein wichtiger Teil der Extraterritorialit�t, die allen Ausl�ndern zusteht, aber wenn wir es nicht tun, sehen wir einem internationalen Aufschrei entgegen. Dieses Problem muss sorgf�ltig durchdacht werden.;;;;;;;;;;;
EVTOPTB913160;Execute him;L'ex�cuter;Richtet ihn hin.;;;;;;;;;;;
EVTOPTA913160;Hand him over to the foreigners;Le remettre aux �trangers;H�ndigt ihn seinen Landsleuten aus.;;;;;;;;;;;
EVTNAME913170;$FROMCOUNTRY$ executes sailor!;$FROMCOUNTRY$ ex�cute un marin !;$FROMCOUNTRY$ richtet Matrosen hin!;;;;;;;;;;;
EVTDESC913170;A depesch has arrived from our attach� in $FROMCOUNTRY$, detailing the tragedy of a sailor in our merchant marine. Apperantly, the sailor killed a local in a scuffle during an extended shore leave in $FROMPROVINCE$. Despite pressures from our diplomatic mission, he was later tried and executed according to $FROMCOUNTRY_ADJ$ laws. While we mourn his passing, we should also take some time to consider what we should do about this grave and serious insult to our national honor.;;Eine Depesche ist von unserem Attach� in $FROMCOUNTRY$ eingetroffen, die von der Trag�die eines Matrosen unserer Handelsmarine berichtet. Es scheint, als habe der Mann w�hrend eines l�ngeren Landgangs in $FROMPROVINCE$ einen Einheimischen w�hrend einer Schl�gerei umgebracht. Trotz Druck aus unserer diplomatischen Mission wurde er sp�ter gem�� den $FROMCOUNTRY_ADJ$ Gesetzen vor Gericht gestellt und hingerichtet. W�hrend wir um den Verstorbenen trauern, sollten wir uns zugleich Gedanken um diese schwere und ernsthafte Beleidigung unserer nationalen Ehre machen.;;;;;;;;;;;
EVTOPTA913170;Dispatch a punitive expedition;D�p�cher une exp�dition punitive;Strafexpedition entsenden;;;;;;;;;;;
EVTOPTB913170;Drink the bitter chalice;Boire le calice jusqu'� la lie;In den sauren Apfel bei�en.;;;;;;;;;;;
EVTNAME913180;$FROMCOUNTRY$ grants extraterritoriality;$FROMCOUNTRY$ accorde l'exterritorialit�;$FROMCOUNTRY$ gew�hrt Extraterritorialit�t;;;;;;;;;;;
EVTDESC913180;News reaches us from $FROMCOUNTRY$ that they have decided to allow foreigners to be tried according to the laws of their native countries. Doubtlessly caused by pressure from within the circles of the Great Powers, these are good news nevertheless.;Nous venons d'apprendre que $FROMCOUNTRY$ avait d�cid� d'autoriser les �trangers � �tre jug�s selon les lois de leur pays d'origine. Nous devons sans nul doute cette bonne nouvelle aux pressions exerc�es par les grandes puissances.;Aus $FROMCOUNTRY$ erreichen uns Nachrichten, dass dort Ausl�nder gem�� der Gesetze ihrer Heimatl�nder vor Gericht gestellt werden d�rfen. Zweifellos geschah dies auf Druck der Gro�m�chte, aber es sind trotzdem gute Nachrichten.;;;;;;;;;;;
EVTOPTA913180;We are pleased;Nous sommes ravis.;Wir sind erfreut.;;;;;;;;;;;
EVTNAME913185;An Invitation Arrives;;;;;;;;;;;;;
EVTDESC913185;A group of Latinoi expatriates currently residing in $CAPITAL$ have offered an invitation to high-ranking members of the $COUNTRY_ADJ$ government to attend a fancy affair in the Latinoi quarter. We're well aware that this is just an excuse for these men to gain more influence in $COUNTRY$-- but there could be benefits for us as well, namely using the opportunity to gain insight into their methods.;;;;;;;;;;;;;
913185.A;Attend the function.;;;;;;;;;;;;;
913185.B;Refuse. We don't need their methods.;;;;;;;;;;;;;
EVTNAME913186;$FROMCOUNTRY_ADJ$ Influence;;;;;;;;;;;;;
EVTDESC913186;A group of $COUNTRY_ADJ$ entrepeneurs recently spent time plying $FROMCOUNTRY_ADJ$ officials with liquor and favors at a formal affair in $FROMCOUNTRY$'s Latinoi quarter. The result is promising-- a number of new business ventures and trade deals, giving $COUNTRY$ greater sway over $FROMCOUNTRY_ADJ$ affairs. All these men require is our government's support.;;;;;;;;;;;;;
913186.A;We'll gladly support this initiative.;;;;;;;;;;;;;
913186.B;They have our permission to continue, but we can offer no support.;;;;;;;;;;;;;
913186.C;This is not in our best interest.;;;;;;;;;;;;;
EVTNAME913190;Military Reform;R�forme militaire;Milit�rreform;;;;;;;;;;;
EVTDESC913190;With the Latinoioi presence in our part of the world steadily increasing, the need for military reform becomes more dire every day. Where the Latinoi field regiments of drilled professionals, we meet them with an army that is old and outdated, and organised along the lines of clan, family, nobility and personal loyalties.;;Mit steigender europ�ischer Pr�senz in unserem Teil der Welt wird das Bed�rfnis nach Milit�rreformen t�glich dringender. Die Europ�er haben Regimenter gut gedrillter Professioneller, und wir stellen ihnen eine Armee gegen�ber, die altmodisch ist und nach Clans, Familien, Adel und pers�nlicher Loyalit�t organisiert.;;;;;;;;;;;
EVTOPTA913190;Reform the military;R�former l'arm�e;Milit�r reformieren;;;;;;;;;;;
EVTOPTB913190;We will not abandon our traditional ways;Nous ne renoncerons pas � nos traditions.;Wir werden unsere Traditionen nicht aufgeben.;;;;;;;;;;;
EVTNAME913200;Our Master's Voice;La voix de notre ma�tre;Die Stimme unseres Herrn;;;;;;;;;;;
EVTDESC913200;We have suffered a defeat. Despite our policy of splendid isolation, a hostile world has made inroads into ours. $SPHEREMASTER$ has forced our country open, and the gravitation of their might and power has brought our political life into orbit around theirs. Latinoi traders, missionaries and spies pour across our borders, all the while undermining our traditional sovereignty over this, our homeland. No longer the masters of our own fate, our first priority now is to obey. But some dark night...;;Wir haben eine Niederlage eingesteckt. Trotz unserer Isolationspolitik hat eine feindliche Welt ihren Weg in die unsere gefunden. $SPHEREMASTER$ hat unser Land zur �ffnung gezwungen, und die Schwerkraft ihrer Macht hat unser politisches Leben in die Umlaufbahn um ihres gebracht. Ausl�ndische H�ndler, Missionare und Spione ergie�en sich �ber unsere Grenzen und unterminieren unsere traditionelle Hoheitsgewalt �ber unser Heimatland. Wir sind nicht l�nger die Herren unseres eigenen Schicksals, und unsere erste Priorit�t ist es, zu gehorchen. Doch in irgendeiner dunklen Nacht ...;;;;;;;;;;;
EVTOPTA913200;We bide our time;Nous attendons le bon moment.;Wir warten auf den richtigen Zeitpunkt.;;;;;;;;;;;
EVTOPTB913200;Liberty or Death!;La libert� ou la mort !;Freiheit oder Tod!;;;;;;;;;;;
EVTNAME913201;Diplomatic Mission unde Siege!;Mission diplomatique assi�g�e !;Diplomatische Mission unter Belagerung!;;;;;;;;;;;
EVTDESC913201;News reaches us from $FROMCOUNTRY$ that the local ruling elites have thrown our ambassador out of the country, and that their troops are laying siege to our embassy with apparent intent to enforce that decision. This affair is developing into an enormous loss of international face, one which can only be avoided through a formal declaration of war against $FROMCOUNTRY$. Sire, how should we respond?;Nous venons d'apprendre que les �lites locales de $FROMCOUNTRY$ ont expuls� notre ambassadeur et que leurs troupes assi�gent notre ambassade. Cette affaire s'av�re lourde de cons�quences aux yeux du monde et il nous faut reprendre les choses en mains en d�clarant la guerre � $FROMCOUNTRY$. Monsieur, que devons-nous faire ?;Uns erreichen Nachrichten aus $FROMCOUNTRY$, dass die lokale Herrscherelite unseren Botschafter des Landes verwiesen hat, und dass ihre Truppen unsere Botschaft anscheinend mit der Absicht belagern, diese Entscheidung auch durchzusetzen. Diese Aff�re bedeutet f�r uns einen gewaltigen internationalen Gesichtsverlust, auf den wir nur mit einer formalen Kriegserkl�rung an $FROMCOUNTRY$ reagieren k�nnen. Wir sollen wir handeln?;;;;;;;;;;;
EVTOPTA913201;By Jingo!;Bon sang !;Auf in den Krieg!;;;;;;;;;;;
EVTOPTB913201;Perhaps we should let the $FROMCOUNTRY_ADJ$ Dragon sleep.;Nous devrions peut-�tre laisser le dragon $FROMCOUNTRY_ADJ$ dormir.;Vielleicht sollten wir den $FROMCOUNTRY_ADJ$ Drachen schlafen lassen.;;;;;;;;;;;
EVTNAME913202;$FROMCOUNTRY_ADJ$ Relations;;;;;;;;;;;;;
EVTDESC913202;Our relations with $FROMCOUNTRY$ have worsened to the point that members of their government have begun a campaign to reduce or even eliminate $COUNTRY_ADJ$ influence. Some of our diplomats have fled, and now we are faced with the unpleasant prospect of either enforcing our interests or suffering embarassment at our inability to manage a former ally.;;;;;;;;;;;;;
913202.A;We will defend our interests.;;;;;;;;;;;;;
913202.B;We will not go to war over this.;;;;;;;;;;;;;
EVTNAME913210;Rescript on Education;Le syst�me �ducatif;Bildungserlass;;;;;;;;;;;
EVTDESC913210;So shall ye not only be Our good and faithful subjects, but render illustrious the best traditions of your forefathers.'\n\n$COUNTRYNAME$'s educational system is deeply mired in ancient tradition and long-established dogma. While it has helped maintain the traditional order in eras past, the old system has a hard time integrating the new knowledge that is spreading from the civilized nations of the west. By reforming the system we risk upsetting the vested interests of the traditionalists, but can we afford not to?;;Ihr sollt nicht nur unsere guten und treuen Untertanen sein, sondern auch die besten Traditionen eurer Vorv�ter am Leben halten.'\n\nDas Bildungssystem von $COUNTRYNAME$ steckt tief im Sumpf uralter Traditionen und etablierter Dogmen. W�hrend das in vergangenen Zeiten dabei half, die traditionelle Ordnung aufrecht zu erhalten, f�llt es dem alten System schwer, neues Wissen zu integrieren, das sich aus den zivilisierten Nationen des Westens ausbreitet. Durch eine Reform des Systems riskieren wir, die Interessen der Traditionalisten zu gef�hrden, aber k�nnen wir es uns leisten, das nicht zu tun?;;;;;;;;;;;
EVTOPTA913210;Push for reform;R�former;Auf Reformen dr�ngen.;;;;;;;;;;;
EVTOPTB913210;The old ways endure;Les traditions doivent �tre perp�tu�es.;Die alten Traditionen sind die besten.;;;;;;;;;;;
EVTNAME913220;Latinoi Quarter;Quartier des l�gations;Latinoisviertel;;;;;;;;;;;
EVTDESC913220;Several of the Great Powers have in the past few years sought to establish formalized and permanent embassies in $COUNTRYNAME$, but up until now we've turned down their proposals. However, an idea has been floating around the capital that we should perhaps allow them to set up these embasasies after all, provided they are all kept in one place where we can exact some amount of control over them. Perhaps a Latinoi Quarter in $CAPITAL$ could be just the thing?;;Mehrere Gro�m�chte haben in der Vergangenheit versucht, formelle und permanente Botschaften in $COUNTRYNAME$ zu errichten, aber bis heute haben wir ihre Ansinnen abgelehnt. Jedoch geistert eine Idee durch die Hauptstadt, dass wir ihnen vielleicht doch erlauben sollten, hier Botschaften zu errichten, solange sie alle am selben Ort sind, wo wir sie bis zu einem gewissen Grad kontrollieren k�nnen. Vielleicht w�re ein Latinoisviertel in $PROVINCENAME$ genau das Richtige?;;;;;;;;;;;
EVTOPTA913220;They'd better appreciate this;C'est � prendre ou � laisser.;Daf�r sollten sie uns dankbar sein.;;;;;;;;;;;
EVTOPTB913220;Why? They have nothing to offer us?;Pourquoi ? Ils n'ont rien � nous offrir ?;Warum? Sie haben uns nicht zu bieten?;;;;;;;;;;;
EVTNAME913230;Ambassador Killed;Un ambassadeur tu�;Botschafter get�tet;;;;;;;;;;;
EVTDESC913230;Wandering alone in the streets of $CAPITAL$ can be a dangerous thing, as a Latinoi ambassador in the Latinoi Quarter recently found out. Guards report having found him dead at 4 a.m. in the morning, apperently the vicitm of a robbery, however the foreigners accuse us of having failed in our supposed responsibility to protect their diplomats. We fear that even a formal apology will not be enough to placate them, however, something more tangible might...;;Alleine durch die Stra�en von $PROVINCENAME$ zu wandern, kann gef�hrlich sein, wie ein ausl�ndischer Botschafter im Latinoisviertel neulich herausfand. Wachen fanden ihn um vier Uhr morgens tot auf, offensichtlich Opfer eines Raub�berfalls. Die Ausl�nder aber beschuldigen uns, unserer angeblichen Pflicht, ihre Diplomaten zu sch�tzen, nicht Gen�ge getan zu haben. Wir f�rchten, dass selbst eine formelle Entschuldigung nicht ausreichen wird, um sie zu bes�nftigen, aber vielleicht etwas mehr Handfestes ...;;;;;;;;;;;
EVTOPTA913230;Grudgingly erect a monument to the diplomat;�riger � contrec�ur un monument � la m�moire du diplomate;Widerwillig ein Monument zu Gedenken des Diplomaten errichten.;;;;;;;;;;;
EVTOPTB913230;Apologize, but leave it at that;S'en tenir � des excuses;Entschuldigen, aber das reicht dann auch.;;;;;;;;;;;
EVTOPTC913230;This is nonsense, he put himself in harm's way!;C'est absurde, il s'est lui-m�me mis en danger !;Das ist Unsinn, er hat sich selbst in Gefahr gebracht!;;;;;;;;;;;
EVTNAME913240;A Ship on our Shores;Un navire sur nos c�tes;Ein Schiff an unseren Gestaden;;;;;;;;;;;
EVTDESC913240;The oil lamp flickered, casting an orange, sooty glow across the moist brown of the cargo hold. The average ship docking in $PROVINCENAME$ carried very little to raise an eyebrow, but years of being fooled and fooled again by Latinoi merchants, trying to dodge some excise or other, had left him with a sixth sense for when things were out of order. A rat scurrying between some crates tipped him off. A sweet, pungent scent too familiar not to be alluring. Opium. A cargo hold full of opium.;;Die �llampe flackerte und schien ein ru�ig-oranges Gl�hen �ber das feuchte Braun des Frachtraums. Das durchschnittlich aussehende Schiff, das in $PROVINCENAME$ vor Anker lag, f�hrte wenig mit sich, das auch nur ein Augenbrauenheben verursachen w�rde, doch Jahre der Erfahrung mit ausl�ndischen Kaufleuten, die immer wieder versuchten, ihn aufs Kreuz zu legen und Steuern zu umgehen, hatten ihm einen sechsten Sinn daf�r eingebracht, wann etwas nicht in Ordnung war. Eine zwischen einigen Kisten umherhuschende Ratte hatte es ihm verraten. Ein s��licher Geruch, zu vertraut, um nicht verlockend zu wirken. Opium. Ein ganzer Frachtraum voller Opium.;;;;;;;;;;;
EVTOPTA913240;Turn the ship away;Renvoyer le navire;Schickt das Schiff fort.;;;;;;;;;;;
EVTOPTB913240;Let it through;Le laisser passer;Lasst es durch.;;;;;;;;;;;
EVTNAME913250;$FROMCOUNTRY$ Free-Trade!;$FROMCOUNTRY$ et libre-�change;$FROMCOUNTRY$-Freihandel!;;;;;;;;;;;
EVTDESC913250;One of our traders was turned away from the port in $FROMPROVINCE$ some time ago. Apperantly he was discovered by local customs officials trying to smuggle opium, despite the $FROMCOUNTRY_ADJ$ ban on opium imports. A liberal politician in our lower house has addressed the matter.\n\n'The right to trade freely, and openly, across the seas and on land, is one of the unalienable rights of mankind. Our rights have been denied in $FROMCOUNTRY$, and I for one wonder how long the government will stand for these slights at the hands of uncivilized heathens.;;Einer unser H�ndler wurde vor einiger Zeit aus dem Hafen in $FROMPROVINCE$ verwiesen. Es scheint, dass die lokalen Beh�rden ihn dabei erwischten, trotz des $FROMCOUNTRY_ADJ$-Banns auf Opiumimporte Opium zu schmuggeln. Ein liberaler Politiker in unserem Unterhaus hat sich der Sache angenommen.\n\n'Das Recht auf freien und offenen Handel zu See und zu Land ist eins der unver�u�erlichen Rechte der Menschheit. Unsere Rechte wurden uns in $FROMCOUNTRY$ verweigert, und ich m�chte wirklich wissen, wie lange die Regierung diesen Schm�hungen unzivilisierter Heiden noch unt�tig gegen�berstehen will.;;;;;;;;;;;
EVTOPTA913250;Free Trade is Fair Trade!;Le libre-�change, c'est le juste �change !;Freihandel ist fairer Handel!;;;;;;;;;;;
EVTOPTB913250;We have more important matters to attend to;Nous avons des probl�mes plus importants � r�gler.;Wir haben uns um wichtigere Dinge zu k�mmern.;;;;;;;;;;;
EVTNAME913260;$FROMCOUNTRY$ Demands Trade Access!;$FROMCOUNTRY$ demande un acc�s commercial !;$FROMCOUNTRY$ verlangt Handelszugang!;;;;;;;;;;;
EVTDESC913260;Your trading restrictions are a disgrace to the world, and to yourself. Loyal $FROMCOUNTRY_ADJ$ subjects, merely wishing to see their rights of trade upheld, have been turned away from your ports, and we request that this slight be immediately undone. $COUNTRYNAME$ will cease this infraction, or prepare itself to face the consequences.;;Ihre Handelsbeschr�nkungen sind eine Schande f�r die Welt und f�r Sie selbst. Loyale $FROMCOUNTRY_ADJ$ Untertanen, die blo� ihre Handelsrechte aufrecht erhalten m�chten, wurden von Ihren H�fen abgewiesen, und wir verlangen, dass diese Schm�hung unverz�glich wieder gut gemacht wird. $COUNTRYNAME$ wird mit diesem Unrecht aufh�ren oder sich bereit machen, den Konsequenzen ins Auge zu sehen.;;;;;;;;;;;
EVTOPTA913260;Bending with the wind is also a form of resistance;Plier sous le vent est aussi une forme de r�sistance.;Sich dem Winde beugen ist auch eine Form des Widerstandes.;;;;;;;;;;;
EVTOPTB913260;You do your worst, and we shall do our best;Faites le pire et nous ferons de notre mieux.;Ihr tut euer Schlimmstes, und wir tun unser Bestes.;;;;;;;;;;;
EVTNAME913270;The $COUNTRY_ADJ$ Opium War;La guerre de l'opium $COUNTRY_ADJ$;Der $COUNTRY_ADJ$ Opiumkrieg;;;;;;;;;;;
EVTDESC913270;The trade disputes between $FROMCOUNTRY$ and the Great Powers had been on-going since the latter half of the 18th century. Tensions finally escalated to the boiling point in $MONTH$ of $YEAR$, when $FROMCOUNTRY_ADJ$ officials had repeatedly turned down $COUNTRY_ADJ$ requests for unlimited trade access, including a lifting of the ban on the sale of opium. The $COUNTRY_ADJ$ government, already deeply invested in a policy of confrontation, found itself with no options but to declare war, thus, the $COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Opium War begun.;;Die Handelsdispute zwischen $FROMCOUNTRY$ und den Gro�m�chten bestehen nun schon seit der zweiten H�lfte des 18. Jahrhunderts. Die Spannungen eskalierten schlie�lich zum Siedepunkt im $MONTH$ des Jahres $YEAR$, als $FROMCOUNTRY_ADJ$ Beamte wiederholt die $COUNTRY_ADJ$ Anfragen nach uneingeschr�nktem Handelszugang abgewiesen hatten, einschlie�lich eine Aufhebung des Verbots von Opiumverk�ufen. Die $COUNTRY_ADJ$ Regierung, die schon viel in eine Politik der Konfrontation investiert hatte, sah sich gezwungen, den Krieg zu erkl�ren, und so begann der $COUNTRY_ADJ$-$FROMCOUNTRY_ADJ$ Opiumkrieg.;;;;;;;;;;;
EVTOPTA913270;Huzzah!;Hourra !;Hurra!;;;;;;;;;;;
EVTNAME913280;Aristocrats Angered;Les aristocrates en col�re;Ver�rgerte Aristokraten;;;;;;;;;;;
EVTDESC913280;The reforms sweeping through our country have upset the landed elites in one of our cities.;Les r�formes men�es dans notre pays d�plaisent aux �lites fonci�res de $PROVINCENAME$.;Die unser Land �berziehenden Reformen haben die Landbesitzereliten in $PROVINCENAME$ ver�rgert.;;;;;;;;;;;
EVTOPTA913280;Blast!;Bon sang !;Verdammt!;;;;;;;;;;;